name,Unnamed: 0,mapp,Mmax,Host_Name,ra,dec,z,subtype,Phot,Spec,Radio,X-ray,dist,buildup,decay,date,mabs,type,commentary,importance,teff_val,mass
SN2002hn,22638,16.8,-17.656,NGC 2532,122.56214583333332,33.955392592592595,0.017755,Ic,3.0,,,,0.07583674367530846,20,70,2002-11-05,27.400601616364607,supernova, ,0,,
SN1999gb,4114,15.0,-19.456,NGC 2532,122.55704166666666,33.958286111111114,0.017755,II,27.0,1.0,,,0.07583674367530846,20,70,1999-11-22,25.600601616364607,supernova, ,0,,
SN2003I,24722,17.6,-16.6,IC 2481,141.8729,3.9293305555555564,0.01778,Ib,2.0,1.0,,,0.07594313655166338,20,70,2003-01-09,28.19755734945561,supernova, ,0,,
SN2011ia,1125,14.53,-19.9608,MCG +11-12-23,146.26463888888892,64.26005648148147,0.017789,Ia,71.0,1.0,,,0.07598143771793403,19,60,2011-11-18,25.12646246499771,supernova, ,0,,
SN2009le,1471,15.59,-18.2,ESO 478-6,32.32147222222222,-22.58757222222223,0.017792,Ia,58.0,3.0,,,0.07599420474168472,19,60,2009-11-16,26.18609762706128,supernova, ,0,,
SN2009kp,29060,15.1,-19.39,NGC 6246,12.464583333333335,55.54327916666666,0.0178,Ia,1.0,,,,0.07602825006093024,19,60,2009-11-03,25.69512502768118,supernova, ,0,,
PTF11ftr,31161,16.5,-17.99,,13.899166666666664,29.205527777777768,0.0178,II,1.0,,,,0.07602825006093024,20,70,2011-06-12,27.09512502768117,supernova, ,0,,
SN2007bf,1212,17.7,-16.8,UGC 9121,3.8004166666666666,15.73661111111111,0.0178,II,67.0,6.0,,,0.07602825006093024,20,70,2007-04-08,28.29512502768118,supernova, ,0,,
ASASSN-15ab,32544,15.4,-19.09,ESO 325-G45,0.7758333333333334,-37.52486388888889,0.0178,IIn,1.0,,,,0.07602825006093024,21,100,2015-01-02,25.995125027681183,supernova, ,0,,
SN2018bl,14898,16.84,-17.6541,ESO 18-G9,126.04819444444445,-76.21208472222223,0.017816,II,8.0,1.0,,,0.07609634036157331,20,70,2018-01-06,27.4331811444646,supernova, ,0,,
SN2004ca,27597,18.0,-16.495,UGC 11799,10.886666666666667,43.6925,0.01782,Ia,1.0,3.0,,,0.07611336286634864,19,60,2004-06-02,28.59269544744488,supernova, ,0,,
