name,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date,dec,dist,mabs,mapp,mass,ra,type,z,subtype,importance,commentary,teff_val
Mrk493,50,50,50,01/01/2014,35.02972222,0.14162000000000002,,,,14.79,blackhole,0.031327999999999995,,0, ,
PG1613+658,51,51,51,01/01/2000,65.71944444,0.56745,,,8.338927988,3.488333333,blackhole,0.129,,0, ,
PG1617+175,52,52,52,01/01/2000,17.40777778,0.49955,,,8.666843458999999,5.047083333,blackhole,0.11244000000000001,,0, ,
PG1700+518,53,53,53,01/01/2000,51.82222222,1.23675,,,8.785679294,0.35333333299999997,blackhole,0.292,,0, ,
Arp102B,54,54,54,01/01/2013,48.98027778,0.10961,,,,4.810416667,blackhole,0.024166999999999998,,0, ,
3C390.3,55,55,55,01/01/1998,79.77138889,0.2522,,,8.637660175,10.5375,blackhole,0.0561,,0, ,
1RXS J1858+4850,56,56,56,01/01/2014,48.83972222,0.35308,,,6.70529716,14.50458333,blackhole,0.079,,0, ,
Zw229-015,57,57,57,01/01/2011,42.46111111,0.1261,,,6.913107277999999,1.3579166669999998,blackhole,0.027880000000000002,,0, ,
NGC6814,58,58,58,01/01/2009,-10.32361111,0.023668,,,7.037931036,10.66916667,blackhole,0.00521,,0, ,
Mrk509,59,59,59,01/01/1998,-10.72361111,0.1552,,,8.048948167999999,11.04041667,blackhole,0.0344,,0, ,
PG2130+099,60,60,60,01/01/2004,10.13861111,0.28275500000000003,,,7.4329004,8.115833333,blackhole,0.06298,,0, ,
NGC7469,61,61,61,01/01/1997,8.873888889,0.07420500000000001,,,6.956249695,0.815,blackhole,0.016319999999999998,,0, ,
