name,Unnamed: 0,date,dec,dist,mabs,mapp,ra,subtype,type,commentary,importance,teff_val,mass
ENDUROSATONE,55,1998-01-01,45.09559281634823,2.198098617194859e-19,,,320.7812514266457,special,satellite, ,0,,
EQUISAT,56,1998-01-01,13.441075080458678,2.1987959657376485e-19,,,2.4476940767805058,special,satellite, ,0,,
1998-067PB,57,1998-01-01,-51.54890045646159,2.1975167130033106e-19,,,107.34046776728512,special,satellite, ,0,,
1998-067PC,58,1998-01-01,-51.43286635165637,2.19771700468528e-19,,,93.49303356856079,special,satellite, ,0,,
2018-046C,59,2018-01-01,50.99687981728582,2.2243743293932147e-19,,,294.4007103173529,special,satellite, ,0,,
2018-046D,60,2018-01-01,46.44676825152562,2.2247567457650548e-19,,,315.8058327458485,special,satellite, ,0,,
2018-046E,61,2018-01-01,30.17684831942569,2.2249091160076473e-19,,,346.95084538453796,special,satellite, ,0,,
2018-046F,62,2018-01-01,50.700516248329706,2.2237132127743286e-19,,,270.2113946498591,special,satellite, ,0,,
2018-046G,63,2018-01-01,-30.996549568389355,2.2218395342620213e-19,,,165.9588660008589,special,satellite, ,0,,
2018-046H,64,2018-01-01,50.31744705086717,2.223293043436966e-19,,,264.6951517546659,special,satellite, ,0,,
ATLASCENTAUR2,65,1963-01-01,28.093238546950868,2.4916064792008157e-19,,,223.1235241585484,special,satellite, ,0,,
THORAGENADR/B,66,1964-01-01,-30.606577596642946,2.325282248616976e-19,,,61.89849365843313,special,satellite, ,0,,
SL-3R/B,67,1964-01-01,31.13502781383689,2.309439485940134e-19,,,359.2599156026098,special,satellite, ,0,,
SL-8R/B,68,1967-01-01,69.19834489901297,2.294543920751941e-19,,,186.07643915277527,special,satellite, ,0,,
SL-8R/B,69,1968-01-01,13.179766638391714,2.253798589651471e-19,,,160.9639172218017,special,satellite, ,0,,
OAO2,70,1968-01-01,-22.119889959681,2.305232123635822e-19,,,162.88704965366858,special,satellite, ,0,,
ISIS1,71,1969-01-01,27.532422974747142,2.5819393012494303e-19,,,104.50628730403656,special,satellite, ,0,,
SERT2,72,1970-01-01,74.85662582879286,2.4030544834142624e-19,,,140.4072440622138,special,satellite, ,0,,
SL-3R/B,73,1970-01-01,6.763527677628759,2.2209188673776395e-19,,,269.4780599971099,special,satellite, ,0,,
SL-3R/B,74,1971-01-01,40.227656994632966,2.2282260785795687e-19,,,59.89650476320461,special,satellite, ,0,,
ASTEX1,75,1971-01-01,33.753027026646535,2.301276760152677e-19,,,155.17752617744344,special,satellite, ,0,,
SL-8R/B,76,1971-01-01,-43.432970194924,2.190795723763339e-19,,,129.58197206846478,special,satellite, ,0,,
COSMOS482DESCENTCRAFT,77,1972-01-01,51.60289505606332,2.3196371107373536e-19,,,330.0339108327972,special,satellite, ,0,,
OAO3(COPERNICUS),78,1972-01-01,32.30789336473425,2.292456535808507e-19,,,40.693728192030015,special,satellite, ,0,,
ATLASCENTAURR/B,79,1972-01-01,21.918152316838256,2.2712579966734485e-19,,,92.700626722861,special,satellite, ,0,,
