,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
31848,SDSS-II SN 19045,SDSS J12603.91+002511.6,6.517916667,0.419236,30/09/2007,8.49E+13,-16.478,21.63,supernova,Ib/c,0.09247
31913,SN2007lg,SDSS J04603.93-000038.4,11.516375,-0.010805556,22/09/2007,8.77E+13,-19.06,19.12,supernova,Ia,0.0955
32013,SNLS-07D1cc,,6.320416667,-4.113805556,16/09/2007,6.42E+14,,,supernova,Ia,0.853
32365,SNF20070910-005,,1.197083333,4.518919444,10/09/2007,9.70E+13,,,supernova,,0.10592
32368,SNLS-07D4dr,,3.679583333,-17.30947222,10/09/2007,5.94E+14,,,supernova,Ia,0.772
32634,SDSS-II SN 17466,SDSS J14609.91+000043.1,11.5425,0.011566667,04/09/2007,7.45E+13,-17.5023,20.31,supernova,II,0.080898
32802,SN2007jm,SDSS J15538.80-001034.1,328.911,-0.176748,03/09/2007,8.38E+13,-18.8162,19.26,supernova,II,0.091147
32909,GRB 070810A,,9.947083333,10.747,10/08/2007,1.19E+15,,,supernova,LGRB,2.17
33122,SN2007bm,NGC 3672,171.2595833,-9.798277778,20/04/2007,5.82E+12,-18,13.73,supernova,Ia,0.006211
33173,SNF20070403-001,,1.434166667,18.31764444,03/04/2007,7.40E+13,,,supernova,Ia,0.08034
33191,SNLS-07D3cn,,214.071875,52.53961111,24/03/2007,6.68E+14,,,supernova,Ia,0.898
33197,SN2007av,NGC 3279,158.6799167,11.19419444,20/03/2007,4.35E+12,-18.2,14.07,supernova,II,0.00464
33228,GRB 070306A,,13.15416667,10.44,06/03/2007,9.55E+14,,,supernova,LGRB,1.497
33230,SN2007af,NGC 5584,215.587625,-0.393777778,01/03/2007,5.12E+12,-18.3,13.05,supernova,Ia,0.005464
33253,SNLS-07D2be,,0.535,2.666833333,19/02/2007,6.07E+14,,,supernova,Ia?,0.793
33300,SN2007C,NGC 4981,197.2054167,-6.783611111,07/01/2007,5.26E+12,-17.3,14.31,supernova,Ib,0.005611
33392,GRB 061121A,,12.22791667,-13.188,21/11/2006,8.77E+14,,,supernova,LGRB,1.314
33393,SN2006qj,A201105-0019,302.773375,-0.319944444,20/11/2006,9.95E+13,-18.167,20.3,supernova,Ia,0.1087
33543,SN2006my,NGC 4651,10.91958333,16.38725,08/11/2006,2.59E+12,-17.4,14,supernova,II,0.00276
33545,SN2006ne,SDSS J11337.58+002525.5,18.40766667,0.423861111,08/11/2006,4.37E+13,-18.0377,18.58,supernova,Ia,0.047032
33587,SDSS-II SN 15757,SDSS J02536.88+001437.1,6.402916667,0.243246111,31/10/2006,6.52E+13,-17.4533,20.06,supernova,Ib/c,0.070652
33714,SDSS-II SN 15970,SDSS J20957.36+002615.9,32.4897,0.437773056,22/10/2006,9.55E+13,-17.1733,21.2,supernova,II,0.104225
34203,GRB 060927A,,14.54708333,5.37,27/09/2006,1.77E+15,,,supernova,LGRB,5.6
34706,GRB 060906A,,10.70916667,30.362,06/09/2006,1.52E+15,,,supernova,LGRB,3.685
34995,Jennie,,35.75034167,-4.600844444,18/08/2006,8.30E+14,-19.513,24.3,supernova,Ia,1.212
35007,SNLS-06D4eu,,333.9762083,-18.17933333,27/07/2006,9.91E+14,-22.475,21.89,supernova,SLSN,1.588
35022,GRB 060719A,,3.42,-48.381,19/07/2006,9.69E+14,,,supernova,LGRB,1.532
35056,Aki,CXO J221601.1-173722,334.0044875,-17.62280278,19/06/2006,8.21E+14,-19.808,23.97,supernova,Ia,1.192
35085,GRB 060602A,,14.57916667,0.313888889,02/06/2006,6.03E+14,,,supernova,LGRB,0.787
35113,GRB 060522A,,7.954166667,2.895,22/05/2006,1.72E+15,,,supernova,LGRB,5.11
35137,GRB 060510B,,14.25916667,78.591,10/05/2006,1.69E+15,,,supernova,LGRB,4.9
35173,Shaya,SDWFS J142918.75+343837.8,217.3280958,34.64371667,22/04/2006,8.93E+14,-20.22,23.82,supernova,Ia,1.35
35177,GRB 060418A,,11.43083333,-3.64,18/04/2006,9.52E+14,,,supernova,LGRB,1.49
35179,SN2006bp,NGC 3953,13.48208333,52.35261111,09/04/2006,3.29E+12,-16.7,14.49,supernova,II,0.003509
35191,SN2006bh,NGC 7329,340.0670833,-66.48508333,02/04/2006,9.82E+12,-18.8,14.38,supernova,Ia,0.010493
35217,SN2006au,UGC 11057,14.30666667,12.18422222,07/03/2006,8.97E+12,-17.52,15.62,supernova,II,0.00958
35245,GRB 060223A,,10.18583333,-17.134,23/02/2006,1.63E+15,,,supernova,LGRB,4.41
35271,SN2006X,NGC 4321,185.7247083,15.80888889,04/02/2006,4.91E+12,-18.5,12.53,supernova,Ia,0.00524
35280,SNLS-06D3cb,,5.181666667,52.19106389,02/02/2006,7.44E+14,-20.235,23.25,supernova,Ia,1.037
35295,GRB 060123A,,179.75,45.513,23/01/2006,7.75E+14,,,supernova,LGRB,1.099
35306,Tomo,FLX J143808.38+341417.6,9.535,34.23835556,16/01/2006,9.21E+14,-19.772,24.36,supernova,Ia,1.415
35340,SNLS-05D2ob,,14.75291667,1.848983333,27/12/2005,6.83E+14,-19.6,23.64,supernova,Ia,0.924
35361,Caleb,[EBG2008] ser J143228.7+333210,218.1197833,33.536125,12/12/2005,7.81E+14,-19.83,23.8,supernova,Ia,1.11
35374,SNLS-05D2my,,14.63083333,2.491222222,03/12/2005,7.14E+14,-20.04,23.33,supernova,Ia,0.981
35427,SN2005mn,SDSS J34918.34-004129.4,57.32683333,-0.692083333,23/11/2005,4.40E+13,-16.9734,19.66,supernova,Ib,0.047368
35472,SN2005ke,NGC 1371,53.768125,-24.94411111,13/11/2005,4.57E+12,-18.2,13.92,supernova,Ia Pec,0.00488
35480,SDSS-II SN 10976,SDSS J12841.39-005318.7,22.17058333,-0.889222222,12/11/2005,8.78E+13,-17.8419,20.34,supernova,II,0.095606
35485,SDSS-II SN 10928,SDSS J02642.60-004814.7,6.677208333,-0.803833333,11/11/2005,7.54E+13,-18.0891,19.75,supernova,II,0.081883
35527,SNLS-05D4gw,,3.6975,-17.5319,04/11/2005,6.16E+14,-19.61,23.34,supernova,Ia,0.808
35612,SN2005ir,SDSS J11643.86+004737.1,19.1823,0.794544444,28/10/2005,6.94E+13,-19.3126,18.34,supernova,Ia,0.075254
35939,Maggie,,5.44375,-3.382272222,10/10/2005,8.78E+14,-20.082,23.9,supernova,Ia,1.315
35968,SN2005ew,NSF J033923.74+350249.0,9.84875,35.04694444,04/10/2005,2.34E+12,-15.1,15.08,supernova,Ia,0.0025
36224,SDSS-II SN 6520,SDSS J25948.75+001110.9,344.953,0.1857,21/09/2005,9.98E+13,-18.1941,20.28,supernova,Ib/c,0.109067
36478,SDSS-II SN 1821,SDSS J04121.29+001402.3,10.34,0.233609,10/09/2005,8.82E+13,-17.8035,20.39,supernova,II,0.096105
36507,SNLS-05D4ev,,3.376666667,-17.70078611,10/09/2005,5.63E+14,-19.36,23.34,supernova,Ia,0.722
36620,SDSS-II SN 1113,SDSS J24033.23-001752.8,10.13916667,-0.296642,09/09/2005,5.27E+13,-17.537,19.5,supernova,II,0.056915
36679,GRB 050904A,,13.77,14.189,04/09/2005,1.83E+15,,,supernova,LGRB,6.29
36869,SN2005df,NGC 1559,4.407916667,-62.76930556,04/08/2005,4.05E+12,-18.4,12.37,supernova,Ia,0.004316
36930,SN2005cs,NGC 5194,202.472375,47.1745,28/06/2005,1.29E+12,-16.2,12.68,supernova,II,0.00137
36964,SN2005cf,MCG -01-39-03,230.388,-7.449194444,28/05/2005,6.05E+12,-18.7,13.32,supernova,Ia,0.006461
36980,SNLS-05D3jh,,4.355833333,52.61876389,12/05/2005,5.60E+14,-19.95,22.74,supernova,Ia,0.718
36986,SNLS-05D3ht,,4.477916667,53.16758333,11/05/2005,6.70E+14,-19.92,23.26,supernova,Ia,0.901
37023,SNLS-05D3hh,,4.7925,52.95933333,11/04/2005,5.90E+14,-19.63,23.2,supernova,Ia,0.766
37053,SN2005bb,UGC 8067,194.2994583,-1.704833333,01/04/2005,8.55E+12,-15.2,18,supernova,II,0.00913
37118,HST05Lan,GOODS J123656.59+621253.1,189.2363333,62.21481389,25/02/2005,8.41E+14,-17.8506,26,supernova,Ia,1.23407
37134,SNLS-05D2by,,0.116666667,2.521538889,12/02/2005,6.64E+14,-19.85,23.31,supernova,Ia,0.891
37146,SN2005W,NGC 691,27.690625,21.75988889,01/02/2005,8.33E+12,-18.5,14.15,supernova,Ia,0.008889
37158,GRB 050126A,,8.115,42.384,26/01/2005,8.66E+14,,,supernova,LGRB,1.29
37184,SN2005E,NGC 1032,9.809583333,1.098611111,13/01/2005,8.42E+12,-16.203,16.8,supernova,Ib (Ca rich),0.008986
37218,Ombo,EIS J033225.36-274503.0,53.10558333,-27.75083611,16/12/2004,7.11E+14,-18.65,24.7,supernova,Ia,0.975
37255,SN2004gk,IC 3311,186.388375,12.26108333,25/11/2004,5.16E+11,-17.8,13.3,supernova,Ic,-0.00055
37284,SN2004hc,A232432-0841,351.136125,-8.684305556,12/11/2004,5.86E+14,-19.89,22.92,supernova,Ia,0.7588
37311,SN2004fc,NGC 701,27.76604167,-9.701916667,21/10/2004,5.83E+12,-16,15.4,supernova,II,0.00622
37340,SNLS-04D4jw,,4.32875,-17.66549444,11/10/2004,7.03E+14,-19.87,23.45,supernova,Ia,0.961
37348,SNLS-04D4im,[HSP2005] J221500.88-172345.84,333.753525,-17.39604167,09/10/2004,5.81E+14,-20.72,22.07,supernova,Ia,0.751
37357,SNLS-04D4ih,[HSP2005] J221717.04-174038.74,334.3209375,-17.67738333,06/10/2004,6.88E+14,-20.09,23.17,supernova,Ia,0.934
37359,SN2004et,NGC 6946,308.8555417,60.12158333,27/09/2004,8.53E+11,-18,10.32,supernova,II,0.000909
37376,SNLS-04D1iv,,6.200416667,-4.152558333,20/09/2004,7.23E+14,-20.08,23.32,supernova,Ia,0.998
37387,McGuire,COMBO-17 29383,53.04175,-27.83055,16/09/2004,9.02E+14,-18.17,25.9,supernova,Ia,1.37
37404,SN2004eg,UGC 3053,7.034583333,21.65508333,01/09/2004,7.54E+12,-14.364,18.4,supernova,II,0.008051
37432,SN2004dj,NGC 2403,114.3209167,65.59938889,31/07/2004,4.28E+11,-17,10.69,supernova,II P,0.000456
37434,SN2004eq,ESO 404-G12,14.28958333,-34.58091667,30/07/2004,8.28E+12,-19.2,13.4,supernova,Ia,0.00884
37448,SNLS-04D3nc,[HSP2005] J141618.22+521626.09,214.0759125,52.27380278,12/07/2004,6.21E+14,-19.82,23.15,supernova,Ia,0.817
37468,SNLS-04D3lu,[HSP2005] J142108.00+525829.74,215.2832083,52.97479167,22/06/2004,6.24E+14,-19.9,23.08,supernova,Ia,0.822
37473,SNLS-04D3mk,[HSP2005] J141925.83+530949.56,214.85735,53.16369444,18/06/2004,6.19E+14,-19.87,23.09,supernova,Ia,0.813
37486,SN2004bv,NGC 6907,6.27625,-24.81491667,24/05/2004,9.93E+12,-18.7,13.95,supernova,Ia,0.01061
37495,SNLS-04D3ks,[AGR2006] J142233.47+521107.4,215.6397792,52.18518333,22/05/2004,5.82E+14,-20.26,22.53,supernova,Ia,0.752
37501,K0405-001,,188.9614875,62.17720833,21/05/2004,7.30E+14,-18.933,24.5,supernova,,1.012
37526,SN2004bm,NGC 3437,13.14708333,22.93486111,25/04/2004,3.93E+12,-13.8,17.77,supernova,Ic,0.00419
37527,SNLS-04D3dd,GSS 074_5532,214.4516875,52.47067778,25/04/2004,7.25E+14,-19.972,23.44,supernova,Ia,1.002
37559,K0404-011,,189.205675,62.26800833,04/04/2004,9.68E+14,-19.39,24.9,supernova,,1.53
37619,SN2004Y,2MASX J11432825+2140266,10.86791667,21.67508333,12/02/2004,6.39E+13,-18.9675,18.5,supernova,Ia,0.069201
37631,SN2004W,NGC 4649,10.90208333,11.53077778,28/01/2004,3.50E+12,-12.45,18.8,supernova,Ia,0.003729
37673,SNLS-03D1ew,[HSP2005] J022414.08-043956.98,36.05879583,-4.665852778,20/12/2003,6.51E+14,-19.85,23.25,supernova,Ia,0.868
37795,SNLS-03D1bk,VVDS 020209246,36.614225,-4.5367,28/09/2003,6.49E+14,-19.87,23.23,supernova,Ia,0.865
37817,SN2003hx,NGC 2076,11.69583333,-16.7835,12/09/2003,6.70E+12,-18.206,14.3,supernova,Ia,0.007152
37831,SN2003hn,NGC 1448,56.15041667,-44.63027778,25/08/2003,3.41E+12,-16.9,14.01,supernova,II P,0.00364
37851,SN2003gs,NGC 936,6.91,-1.159833333,29/07/2003,4.47E+12,-18.1,13.32,supernova,Ia Pec,0.00477
37884,SN2003fa,ARK 527,266.0321667,40.881,01/06/2003,5.63E+12,-19.69,16.4,supernova,Ia,0.006004
37894,SN2003et,A123555+6213,188.9827917,62.22577778,25/05/2003,8.69E+14,-18.652,25.3,supernova,,1.296
37932,SN2003du,UGC 9391,218.6491667,59.33438889,22/04/2003,5.98E+12,-19.5,13.06,supernova,Ia,0.006381
37937,SN2003dr,NGC 5714,219.546375,46.63427778,13/04/2003,7.02E+12,-14.5,18.3,supernova,IIb/Ib/Ic (Ca rich),0.00749
37957,SN2003dy,A123709+6211,189.2882875,62.19115833,04/04/2003,8.89E+14,-20.12,23.9,supernova,Ia,1.34
37992,SN2003cg,NGC 3169,153.5665417,3.467361111,21/03/2003,3.87E+12,-18.3,13.43,supernova,Ia,0.00413
38014,SN2003bk,NGC 4316,185.6755833,9.333666667,28/02/2003,3.92E+12,-15.2,17,supernova,II,0.004185
38026,SN2003az,A123719+6218,189.3321792,62.31034167,20/02/2003,8.55E+14,-19.682,24.22,supernova,Ia,1.265
38053,SN2003aj,A033244-2755,53.18470833,-27.91844444,03/02/2003,8.74E+14,-18.269,25.7,supernova,Ia,1.307
38054,SN2003ak,A033246-2754,53.19541667,-27.91369444,03/02/2003,9.77E+14,-20.218,24.1,supernova,Ia,1.551
38104,SN2002jz,UGC 2984,3.302083333,13.41869444,23/12/2002,4.84E+12,-16,15.8,supernova,Ib,0.00516
38111,SN2002jo,NGC 5708,219.5684167,40.45388889,11/12/2002,8.60E+12,-16.75,16.3,supernova,Ia,0.00918
38112,SN2002lt,A080859+0643,122.2494083,6.727088889,11/12/2002,7.27E+14,-18.92,24.5,supernova,Ic,1.006
38155,SN2002hl,NGC 3665,6.167083333,38.7675,04/11/2002,6.40E+12,-16.2,16.3,supernova,Ia,0.006831
38178,SN2002ks,A021734-0500,4.39375,-5.004277778,03/11/2002,8.16E+14,-18.559,25.2,supernova,,1.181
38186,SN2002hp,A033224-2746,53.10325833,-27.77168611,01/11/2002,8.73E+14,-19.676,24.29,supernova,Ia,1.305
38211,SN2002hg,NGC 3306,159.2941667,12.65366667,28/10/2002,9.02E+12,-16.6,16.7,supernova,II,0.009637
38213,SN2002kg,NGC 2403,9.2575,65.57480556,26/10/2002,7.51E+11,-8.7,19,supernova,IIn,0.0008
38239,SN2002gf,2MASX J20551849-0004243,313.8245,-0.072611111,27/09/2002,7.93E+13,-18.6536,19.3,supernova,Ia,0.086236
38265,SN2002fa,GALEXASC J205221.54+020843.8,313.09075,2.144972222,24/08/2002,5.41E+13,-17.79,19.3,supernova,II P,0.0584
38295,SN2002dt,ESO 516-G5,240.947125,-22.73872222,26/06/2002,2.91E+11,,17.1,supernova,Ib/c,-0.00031
38345,SN2002gi,A135712+0433,209.30125,4.554722222,07/05/2002,6.76E+14,-19.11,24.1,supernova,Ia,0.912
38369,SN2002fe,A140418+0519,1.075833333,5.323777778,09/04/2002,7.69E+14,-18.883,24.7,supernova,Ia,1.086
38371,SN2002cd,NGC 6916,5.893333333,58.3465,08/04/2002,9.69E+12,-17.8,15.64,supernova,Ia,0.010344
38390,SN2002bs,IC 4221,4.62625,-14.60883333,11/03/2002,9.03E+12,-19.26,13.9,supernova,Ia,0.00964
38424,SN2002ap,NGC 628,24.099375,15.75366667,29/01/2002,1.98E+12,-17.81,12.04,supernova,Ic BL,0.002108
38425,SN2002ao,UGC 9299,217.3989167,-0.0155,25/01/2002,4.81E+12,-18.7,13.6,supernova,Ic,0.005134
38462,SN2002X,A084830+4415,12.12708333,44.25980556,09/01/2002,6.44E+14,-19.65,23.42,supernova,,0.856
38501,SN2001ix,A105218+5707,13.07875,57.12488889,09/12/2001,5.56E+14,-19.77,22.9,supernova,Ia,0.711
38505,SN2001jm,A043913-0123,9.8075,-1.388388889,09/12/2001,7.12E+14,-20.1,23.26,supernova,Ia,0.977
38604,SN2001el,NGC 1448,56.1275,-44.63983333,17/09/2001,3.24E+12,-18.5,12.4,supernova,Ia,0.00346
38620,SN2001du,NGC 1365,53.37129167,-36.14236111,24/08/2001,3.48E+12,-17.17,14,supernova,II,0.00371
38669,SN2001cv,A132534+2737,6.395,27.61738889,20/05/2001,7.45E+14,-19.39,24.1,supernova,Ia,1.04
38671,SN2001bq,NGC 5534,214.42525,-7.417111111,17/05/2001,8.19E+12,-17.7,14.8,supernova,II,0.008748
38674,SN2001bg,NGC 2608,128.8285833,28.46827778,08/05/2001,6.67E+12,-18.8,12.8,supernova,Ia,0.007122
38706,SN2001gn,A140159+0504,0.499583333,5.083222222,15/04/2001,7.88E+14,-18.655,25,supernova,Ia,1.124
38757,SN2001X,NGC 5921,230.4810417,5.061694444,27/02/2001,4.63E+12,-17.47,13.95,supernova,II P,0.004937
38790,SN2001A,NGC 4261,4.845833333,5.827916667,01/01/2001,7.00E+12,-13.5,18.8,supernova,Ia,0.007469
38880,SN2000de,NGC 4384,186.3007083,54.50797222,10/08/2000,7.80E+12,-16.8,16,supernova,Ib,0.00833
38882,SN2000dc,ESO 527-G19,5.189583333,-24.13263889,09/08/2000,9.73E+12,-16.4,16.5,supernova,II,0.010397
38926,SN2000cb,IC 1158,240.3839583,1.706388889,27/04/2000,6.03E+12,-16.3,15.55,supernova,II P Pec,0.00643
39045,SN2000E,NGC 6951,9.3075,66.09727778,26/01/2000,3.88E+12,-18.5,13.42,supernova,Ia,0.00414
39065,SN1999gq,NGC 4523,8.45125,15.18005556,23/12/1999,7.98E+11,-15,14.3,supernova,II,0.00085
39071,SN1999gk,NGC 4653,190.9662917,-0.548722222,15/12/1999,8.20E+12,-17.5,15.4,supernova,II,0.00875
39078,SN1999gi,NGC 3184,154.5694167,41.44116667,09/12/1999,1.85E+12,-16.3,13.9,supernova,II,0.001975
39125,SN1999fk,A022853+0116,7.224583333,1.273388889,03/11/1999,7.53E+14,-19.223,24.3,supernova,Ia,1.056
39126,SN1999fo,A041445+0638,3.690416667,6.642861111,03/11/1999,7.61E+14,-19.55,24,supernova,Ia,1.07
39143,SN1999eh,NGC 2770,137.386125,33.12136111,12/10/1999,6.04E+12,-13.8,18.3,supernova,Ib,0.00645
39198,SN1999dn,NGC 7714,354.06125,2.152444444,19/08/1999,8.77E+12,-16.5,16.3,supernova,Ib,0.009366
39295,SN1999bw,NGC 3198,154.9450417,45.52638889,20/04/1999,2.08E+12,-12.68,17.28,supernova,IIn?,0.00222
39299,SN1999bu,NGC 3786,9.927083333,31.90808333,16/04/1999,8.37E+12,-14.4,18.7,supernova,Ic,0.008933
39321,SN1999bg,IC 758,181.03025,62.50002778,28/03/1999,3.99E+12,-16.8,15.22,supernova,II,0.004253
39514,SN1998dm,MCG -01-04-44,6.558333333,-6.103888889,22/08/1998,6.13E+12,-17.6,14.25,supernova,Ia,0.006541
39611,SN1998bn,NGC 4462,187.3283333,-23.16402778,17/04/1998,5.61E+12,-18.5,13.7,supernova,Ia,0.005981
39616,SN1998bv,HS1035+4758,159.605875,47.70911111,06/04/1998,4.93E+12,-14.74,17.1,supernova,II,0.00526
39680,SN1998S,NGC 3877,176.5255417,47.48205556,02/03/1998,2.83E+12,-19.2,11.7,supernova,IIn,0.00302
39705,SN1998D,NGC 5440,0.747083333,34.74841667,28/01/1998,3.86E+12,-15.7,15.6,supernova,Ia,0.00412
39722,SN1998J,A093110-0445,7.79375,-4.760138889,23/01/1998,6.28E+14,-20.5,22.5,supernova,Ia,0.828
39760,SN1997fg,A133657+6213,189.2404583,62.22083333,23/12/1997,6.98E+14,-16.5,26.8,supernova,,0.952
39786,SN1997dt,NGC 7448,345.012375,15.98069444,22/11/1997,6.86E+12,-17.4,14.64,supernova,Ia,0.007318
39799,SN1997do,UGC 3845,6.677083333,47.09333333,31/10/1997,9.48E+12,-18.8,14.45,supernova,Ia,0.01012
39963,SN1997bq,NGC 3147,4.272083333,73.38391667,07/04/1997,8.81E+12,-18.46,14.45,supernova,Ia,0.00941
40119,SN1996bk,NGC 5308,11.74166667,60.97025,12/10/1996,6.38E+12,-18.3,13.9,supernova,Ia,0.00681
40167,SN1996aq,NGC 5584,215.5946667,-0.389944444,17/08/1996,5.18E+12,-15.7,15.7,supernova,Ic,0.00553
40189,SN1996al,NGC 7689,353.3170833,-54.08388889,22/07/1996,6.16E+12,-17.8,14,supernova,II,0.006571
40213,SN1996ai,NGC 5005,2.742083333,37.05983333,16/06/1996,2.96E+12,-17.2,13.5,supernova,Ia,0.00316
40265,SN1996X,NGC 5061,4.504583333,-26.84591667,12/04/1996,6.46E+12,-18.9,12.71,supernova,Ia,0.00689
40287,SN1996cl,A105659-0337,14.24625,-3.626777778,18/03/1996,6.27E+14,-19.659,23.34,supernova,Ia,0.8274
40295,SN1996cr,ESO 97-G13,213.291875,-65.34577778,16/03/1996,1.36E+12,-11.5,16.6,supernova,II,0.001449
40460,SN1995N,MCG -02-38-17,222.367875,-10.17055556,05/05/1995,5.78E+12,-18.9,13.04,supernova,II,0.00617
40499,SN1995D,NGC 2962,145.2281375,5.1406,10/02/1995,6.15E+12,-20,12.7,supernova,Ia,0.006561
40613,SN1994W,NGC 4041,180.5455,62.14241667,29/07/1994,3.78E+12,-19.1,13,supernova,II,0.00403
40637,SN1994U,NGC 4948,196.233875,-7.947694444,27/06/1994,3.52E+12,-17.7,14,supernova,Ia,0.003749
40890,SN1993L,IC 5270,344.47025,-35.85744444,30/04/1993,6.20E+12,-17.5,13.86,supernova,Ia,0.006616
40905,SN1993J,NGC 3031,148.8532279,69.02047278,28/03/1993,1.06E+11,-17.4,9.91,supernova,IIb,-0.000113
40906,SN1993K,NGC 2223,96.1575,-22.83055556,28/03/1993,8.50E+12,-18.1,14.5,supernova,II?,0.00908
41009,SN1992ba,NGC 2082,85.44625,-64.30019444,30/09/1992,3.70E+12,-16.7,14,supernova,II P,0.00395
41137,SN1992K,ESO 269-G57,2.5175,-46.44175,03/03/1992,9.70E+12,-17.3,15.78,supernova,Ia,0.01036
41171,SN1992A,NGC 1380,54.11420833,-34.95872222,11/01/1992,3.95E+12,-18.59,12.62,supernova,Ia,0.00421
41199,SN1991bg,NGC 4374,186.2654167,12.871,03/12/1991,3.32E+12,-17.8,13.41,supernova,Ia Pec,0.003539
41342,SN1991T,NGC 4527,188.5425,2.665666667,13/04/1991,5.43E+12,-19.57,10.93,supernova,Ia-91T,0.005791
41348,SN1991M,IC 1151,239.6450833,17.45797222,12/03/1991,6.78E+12,-18.4,14.45,supernova,Ia,0.007235
41362,SN1990aj,NGC 1640,70.56375,-20.42163889,18/12/1990,5.01E+12,-13.4,18,supernova,Ia/c,0.005344
41386,SN1990M,NGC 5493,212.8724167,-5.043583333,15/06/1990,8.47E+12,-19.4,13.5,supernova,Ia,0.00904
41387,SN1990K,NGC 150,8.55825,-27.79608333,25/05/1990,4.95E+12,-17,14.57,supernova,II,0.005284
41395,SN1990E,NGC 1035,39.87125,-8.137222222,15/02/1990,4.02E+12,-16.8,14.44,supernova,II,0.00429
41397,SN1990B,NGC 4568,189.1410833,11.24163889,20/01/1990,6.97E+12,-17.4,14.5,supernova,Ic,0.00744
41416,SN1989L,NGC 7339,339.457125,23.78769444,04/05/1989,4.11E+12,-14.9,16,supernova,II,0.00438
41425,SN1989C,MCG +01-25-25,146.9392083,2.626694444,03/02/1989,5.86E+12,-17.8,14.3,supernova,II,0.006252
41428,SN1989A,NGC 3687,171.9959167,29.50594444,19/01/1989,7.83E+12,-19,13.85,supernova,Ia,0.008359
41450,SN1988L,NGC 5480,211.59125,50.72972222,30/04/1988,5.97E+12,-15.2,16.5,supernova,Ib,0.00637
41476,SN1987E,NGC 4725,193.0670833,25.32305556,24/04/1987,2.68E+12,-14.81,15.7,supernova,Star,0.00286
41480,SN1987A,LMC,83.86675,-69.26974167,24/02/1987,8925170585,-16.3,1.9,supernova,II Pec,9.51E-06
41487,SN1986J,NGC 891,35.63054167,42.33233333,21/08/1986,1.65E+12,-15.7,14,supernova,II,0.00176
41490,SN1986G,NGC 5128,201.4019167,-43.03155556,03/05/1986,1.72E+12,-16.6,10.61,supernova,Ia-91bg,0.00183
41504,SN1985L,NGC 5033,198.3404583,36.60897222,13/06/1985,9.01E+12,-19.2,12.5,supernova,II,0.00962
41507,SN1985H,NGC 3359,161.63375,63.23027778,12/04/1985,3.18E+12,-14.2,16.4,supernova,II,0.00339
41508,SN1985G,NGC 4451,187.1683333,9.261111111,21/03/1985,2.42E+12,-17.4,14.8,supernova,II,0.00258
41510,SN1985F,NGC 4618,190.3875417,41.15163889,28/02/1985,1.69E+12,-17,12.38,supernova,Ib,0.0018
41514,SN1985B,NGC 4045,180.6835,1.979111111,17/01/1985,5.79E+11,-18.7,13,supernova,Ia,0.000617
41536,SN1984A,NGC 4419,186.7322083,15.05475,04/01/1984,8.64E+11,-19,12.1,supernova,Ia,-0.00092
41548,SN1983N,NGC 5236,9.213333333,-29.90047222,03/07/1983,2.89E+12,-17.4,10.73,supernova,Ib,0.00308
41558,SN1983G,NGC 4753,193.0870833,-1.203333333,04/04/1983,1.93E+12,-17,12.65,supernova,Ia,0.00206
41589,SN1982B,NGC 2268,108.6405,84.38658333,12/02/1982,6.23E+12,-19.2,13.35,supernova,Ia,0.00665
41634,SN1978K,NGC 1313,49.41083333,-66.55127778,31/07/1978,1.47E+12,-12.1,16,supernova,II,0.001568
41663,SN1976B,NGC 4402,186.5508333,13.11138889,28/03/1976,7.41E+11,-16.3,14.07,supernova,Ib,0.00079
41671,SN1975N,NGC 7723,354.725,-12.9525,24/10/1975,5.32E+12,-18.5,13.41,supernova,Ia,0.00568
41691,SN1974G,NGC 4414,186.6166667,31.20611111,20/04/1974,3.69E+12,-19.3,11.8,supernova,Ia,0.00394
41731,SN1972E,NGC 5253,204.9695833,-31.66916667,06/05/1972,1.27E+12,-19.4,7.77,supernova,Ia,0.001358
41740,SN1971S,NGC 493,20.55041667,0.955833333,15/11/1971,7.39E+12,-16.2,15.5,supernova,II,0.00789
41748,SN1971L,NGC 6384,263.1083333,7.067222222,24/06/1971,4.32E+12,-19.1,12.67,supernova,Ia,0.00461
41751,SN1971I,NGC 5055,198.9566667,41.9875,24/05/1971,1.23E+12,-19,10.9,supernova,Ia,0.00131
41753,SN1971G,NGC 4165,183.05,13.23777778,29/03/1971,5.85E+12,-19.21,13,supernova,Ia,0.00624
41767,SN1970G,NGC 5457,210.7534583,54.24244444,30/07/1970,7.61E+11,-18,11.42,supernova,II,0.000811
41774,SN1970A,IC 3476,188.1708333,14.04194444,15/02/1970,5.35E+11,-16.4,14,supernova,II,-0.00057
41775,SN1970O,A122618+2745,186.5708333,27.7475,02/02/1970,2.46E+12,-16.62,13.7,supernova,,0.00262
41827,SN1967C,NGC 3389,162.1045833,12.54527778,28/02/1967,4.06E+12,-18.8,12.46,supernova,Ia,0.00433
41840,SN1966E,NGC 4189,183.44125,13.415,12/07/1966,6.58E+12,-16.2,14.8,supernova,II,0.00702
41843,SN1966B,NGC 4688,191.9370833,4.325555556,12/02/1966,3.05E+12,-16.1,15,supernova,II,0.00325
41872,SN1964E,MCG +09-20-51,179.7541667,52.71638889,12/03/1964,5.19E+12,-18.13,12.85,supernova,Ia,0.00554
