,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
8378,SN2017ckd,2MASX J14201616+1520386,215.0695417,15.34154722,25/03/2017,6.31E+13,-19.2197,18.22,supernova,Ia,0.068334
8764,SN2017bzb,NGC 7424,344.3220833,-41.016,07/03/2017,2.94E+12,-17.731,12.98,supernova,II,0.003132
8765,SN2017bzc,NGC 7552,349.0612083,-42.56969444,07/03/2017,5.03E+12,-19.681,12.2,supernova,Ia,0.005365
8987,SN2017byc,,227.5059167,7.778886111,24/02/2017,4.30E+13,-18.482,18.1,supernova,Ia,0.04627
9108,MLS170221:101616+355433,PGC 2071897,154.0671292,35.90916944,21/02/2017,8.24E+13,,,supernova,Candidate,0.089632
9377,SN2017ahn,NGC 3318,159.3227083,-41.61813056,08/02/2017,8.67E+12,-17.267,15.8,supernova,II,0.009255
9977,SN2017mu,GALEXASC J093036.72+212437.4,142.6524167,21.41175556,21/01/2017,7.51E+13,-18.89,18.94,supernova,Ia,0.0815
10132,SN2017aym,NGC 5690,219.4240833,2.285680556,13/01/2017,5.56E+12,-14.188,17.91,supernova,II P,0.005928
10190,SN2017jd,IC 5334,353.6519583,-4.534533333,09/01/2017,6.90E+12,-17.971,14.6,supernova,Ia,0.007368
10417,ASASSN-16pq,NGC 3485,165.0142917,14.84148889,31/12/2016,4.49E+12,-14.63,17,supernova,,0.00479
10430,SN2016jfu,NGC 4793,193.6775,28.94055556,30/12/2016,7.76E+12,-16.066,16.76,supernova,II P,0.008286
10612,SN2016iyz,IC 2151,88.15595833,-17.78695,20/12/2016,9.88E+12,-16.0834,17.27,supernova,II,0.010556
10795,ASASSN-16oh,,29.43183333,-73.62568889,02/12/2016,6.94E+11,-10.7,16.9,supernova,,0.00074
11136,PS16fhb,2MASX J08172477+2252420,124.3529167,22.87531667,08/11/2016,8.84E+13,-17.2973,20.9,supernova,,0.096271
11141,GRB 161108A,,0.775833333,24.905,08/11/2016,8.05E+14,,,supernova,LGRB,1.159
11177,AT2016ijb,IC 1613,16.11170833,2.173030556,05/11/2016,7.33E+11,,19.4,supernova,Candidate,-0.000781
11717,AT2016hbq,M32,10.62125,40.88415,07/10/2016,1.69E+11,,,supernova,Candidate,0.00018
11843,SN2016gsb,ESO 555- G 029,91.11725,-20.34026111,29/09/2016,9.04E+12,-18.76,14.4,supernova,Ia,0.00965
11849,AT2016gqw,NGC 2841,140.4949167,50.95533333,28/09/2016,3.26E+12,-12.64,18.3,supernova,Candidate,0.00348
12042,AT2016gky,UGC 11651,314.2925,25.96446944,20/09/2016,4.77E+12,-12.464,19.3,supernova,Candidate,0.005084
12858,Gaia16ayf,CGMW 5-04913,278.3279167,10.60183333,04/08/2016,9.89E+12,-16.0239,17.33,supernova,Candidate,0.010558
13053,SN2016eiy,ESO 509-IG 064,203.661,-23.68143056,26/07/2016,8.11E+12,-17.813,15.11,supernova,Ia,0.008663
13206,ASASSN-16hf,M31,11.17125,40.14324444,14/07/2016,9.40E+11,,,supernova,,-0.001001
13692,SNhunt320,IC 767,182.7617083,12.10415,16/06/2016,5.92E+12,-14.536,17.7,supernova,,0.006318
13988,SN2016coi,UGC 11868,329.76725,18.18625,27/05/2016,3.42E+12,-17.591,13.45,supernova,Ic BL,0.003646
14124,SN2016cdd,ESO 218-G008,187.9735,-51.74745278,14/05/2016,8.18E+12,-16.84,16.1,supernova,Ib,0.008731
14497,SN2016brx,NGC 7391,342.6417917,-1.542361111,19/04/2016,9.52E+12,-17.1717,16.1,supernova,Ia-91bg,0.010167
14565,SN2016bmi,IC 4721,8.634166667,-58.52911111,14/04/2016,6.98E+12,-16.096,16.5,supernova,II P,0.007455
14959,SN2016bkx,MRK 7,7.045833333,72.57541111,24/03/2016,9.60E+12,-16.929,16.36,supernova,II P,0.01025
15147,SN2016bau,NGC 3631,170.2459167,53.17377778,13/03/2016,3.62E+12,-15.943,15.22,supernova,Ib,0.003856
15314,AT2016bar,MCG +09-20-097,181.7804167,53.66841667,05/03/2016,5.45E+13,-17.83,19.28,supernova,Candidate,0.0589
15579,SN2016aqf,NGC 2101,86.5996125,-52.08857222,26/02/2016,3.77E+12,-17.061,14.19,supernova,II,0.004016
15873,SN2016bfy,,171.5432125,44.3448,10/02/2016,8.60E+13,-17.237,20.9,supernova,Ia,0.09369
