,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
59,59.0,,01/04/2018,-19.657438561378093,304083956.87431496,0.0,,,244.64374984118348,,,1.6357214584097997e+18,6.244799985014013e+18,,,star
83,83.0,,01/04/2018,-19.80800534606952,1311665105.331422,0.0,,,246.2170476398471,,,1.6357214584097997e+18,6.24492320333127e+18,,3966.7,star
22,22.0,,01/04/2018,-19.204648484952248,315395026.6768351,0.0,,,245.4589184842881,,,1.6357214584097997e+18,6.245204330413649e+18,,,star
7,7.0,,01/04/2018,-18.71051458758597,531421984.14349633,0.0,,,246.1425363894355,,,1.6357214584097997e+18,6.24533490171775e+18,,,star
70,70.0,,01/04/2018,-20.192397225719887,367397618.4199726,0.0,,,243.21267506660058,,,1.6357214584097997e+18,6.245401147292575e+18,,4807.143,star
79,79.0,,01/04/2018,-19.635362805497717,345343374.86718845,0.0,,,242.56804247935918,,,1.6357214584097997e+18,6.245679766114657e+18,,,star
61,61.0,,01/04/2018,-19.332342464050182,485861232.91776377,0.0,,,242.04033223482932,,,1.6357214584097997e+18,6.245744950835621e+18,,,star
68,68.0,,01/04/2018,-18.848612485307225,391160133.56610686,0.0,,,243.01722863519728,,,1.6357214584097997e+18,6.245873074002329e+18,,,star
27,27.0,,01/04/2018,-18.37318359591136,370648758.7199065,0.0,,,244.7778262653461,,,1.6357214584097997e+18,6.2460643933235e+18,,,star
33,33.0,,01/04/2018,-18.03587988117197,215397603.3717467,0.0,5.115924599635672,-4.978154068486758,245.8374993954596,,1.2028048999999998,1.6357214584097997e+18,6.246135930298083e+18,,4860.0,star
99,99.0,,01/04/2018,-17.754076171875976,282541635.2997154,0.0,,,245.29995309312446,,,1.6357214584097997e+18,6.246207325536184e+18,,,star
90,90.0,,01/04/2018,-17.917942066141514,48260007.26353012,0.0,8.137933277640439,1.2921220288173103,244.1524908051836,,0.5966184,1.6357214584097997e+18,6.246327691998941e+18,,3441.0,star
15,15.0,,01/04/2018,-17.14993619524283,78564667.12998062,0.0,,,244.66776748216012,,,1.6357214584097997e+18,6.246485914295194e+18,,,star
17,17.0,,01/04/2018,-21.171415936250867,269551066.16189945,0.0,,,238.81573018181615,,,1.6357214584097997e+18,6.246593528995344e+18,,,star
4,4.0,,01/04/2018,-20.986808560426503,752003138.3441992,0.0,,,239.1063626788317,,,1.6357214584097997e+18,6.246625281694239e+18,,4592.6797,star
43,43.0,,01/04/2018,-20.481477170784093,86001930.355064,0.0,,,238.21639453315774,,,1.6357214584097997e+18,6.2468983342358e+18,,,star
3,3.0,,01/04/2018,-20.37784621520775,617423194.5659312,0.0,,,238.75017001403728,,,1.6357214584097997e+18,6.24698581842811e+18,,,star
78,78.0,,01/04/2018,-19.959592253684352,94568198.01190849,0.0,,,240.47624342202386,,,1.6357214584097997e+18,6.247163350897241e+18,,,star
58,58.0,,01/04/2018,-19.352627328792828,145187764.79423127,0.0,,,240.89172072131126,,,1.6357214584097997e+18,6.247295635890108e+18,,,star
93,93.0,,01/04/2018,-19.49970390725613,789842226.2155242,0.0,,,240.1403624592364,,,1.6357214584097997e+18,6.247380783622593e+18,,,star
26,26.0,,01/04/2018,-19.429421972367056,134931861.47803172,0.0,,,239.230619083414,,,1.6357214584097997e+18,6.247431975332711e+18,,,star
30,30.0,,01/04/2018,-20.069154290792287,115164732.56355415,0.0,,,237.6070482852604,,,1.6357214584097997e+18,6.247701767997848e+18,,,star
88,88.0,,01/04/2018,-19.687453318619472,135641159.85858434,0.0,,,238.08663146158312,,,1.6357214584097997e+18,6.24783195704535e+18,,,star
22,22.0,,01/04/2018,-19.545806587490546,809682412.1449758,0.0,,,236.86227730760157,,,1.6357214584097997e+18,6.247981426205887e+18,,4903.98,star
26,26.0,,01/04/2018,19.1613059581912,121517858.6576932,0.0,5.335376394107079,-3.5156984797628805,153.82613121392768,,0.86453855,1.6357214584097997e+18,6.250364587594085e+17,,5450.0,star
0,0.0,,01/04/2018,-18.63958934598751,248027436.66970092,0.0,,,237.98077382553302,,,1.6357214584097997e+18,6.248109308855272e+18,,,star
93,93.0,,01/04/2018,-18.886316864222067,24785227.12662975,0.0,,,239.55495361776002,,,1.6357214584097997e+18,6.248227510654005e+18,,4218.3623,star
10,10.0,,01/04/2018,-18.19489758777263,295194803.7990651,0.0,5.551203458749808,-5.227214417880198,240.3779981602076,,0.97414225,1.6357214584097997e+18,6.24837010356879e+18,,4885.34,star
60,60.0,,01/04/2018,-18.22993993774568,276960899.2921168,0.0,4.455750526655758,-6.184216110918513,238.68155803316952,,1.4963188,1.6357214584097997e+18,6.24851857199715e+18,,5072.7,star
83,83.0,,01/04/2018,-18.101278725188028,152648613.80500397,0.0,6.578533887782159,-2.767804770575056,238.117077549124,,0.7581150999999999,1.6357214584097997e+18,6.248562105785945e+18,,4371.247,star
85,85.0,,01/04/2018,-17.58150460962817,377727397.0068244,0.0,,,239.23930976244188,,,1.6357214584097997e+18,6.24866312341623e+18,,,star
71,71.0,,01/04/2018,-18.518946737326765,90768150.8644522,0.0,,,242.0961183577932,,,1.6357214584097997e+18,6.248862543037976e+18,,,star
87,87.0,,01/04/2018,-17.85143980365172,463461276.7816093,0.0,2.8038048574096046,-8.954136745367071,242.62527044780074,,3.8624778,1.6357214584097997e+18,6.249017715914406e+18,,4618.6265,star
21,21.0,,01/04/2018,-18.162827341050342,37630381.764881,0.0,,,241.3945357143808,,,1.6357214584097997e+18,6.249085881339009e+18,,,star
1,1.0,,01/04/2018,-17.645967902246532,232798773.20341143,0.0,5.883446523204245,-4.379331247684144,242.20606206017982,,0.8137477,1.6357214584097997e+18,6.249209821212539e+18,,4951.5,star
96,96.0,,01/04/2018,-17.54153462725611,129859262.53793804,0.0,4.444373416606052,-4.550865578600863,242.82119089714368,22.83622221666009,1.5712355,1.6357214584097997e+18,6.249399624406535e+18,,4963.275,star
68,68.0,,01/04/2018,-16.93812140169745,200238360.1706581,0.0,6.108096734266169,-3.8275139999151615,243.90685978012382,,0.7624184,1.6357214584097997e+18,6.249531222205366e+18,,4857.58,star
68,68.0,,01/04/2018,-16.747247216812934,224246366.3492652,0.0,,,243.64088683622623,,,1.6357214584097997e+18,6.249551971189195e+18,,,star
5,5.0,,01/04/2018,-16.88451861614579,260242362.3106393,0.0,,,243.2619869035274,,,1.6357214584097997e+18,6.249730886644081e+18,,,star
12,12.0,,01/04/2018,-16.223458590087766,48486854.15746649,0.0,8.416190735968309,1.5601963625070283,242.75519550146961,,0.5284393000000001,1.6357214584097997e+18,6.249825960040331e+18,,3429.3333,star
41,41.0,,01/04/2018,-17.704693042237622,461227155.7917074,0.0,,,240.6556268621976,,,1.6357214584097997e+18,6.249923369901588e+18,,4846.0,star
21,21.0,,01/04/2018,-17.455859810650967,416642380.72178936,0.0,-0.5654520957106639,-12.092143650576473,240.0129611339046,-34.177906791883075,24.126795,1.6357214584097997e+18,6.249971920211678e+18,,4014.41,star
98,98.0,,01/04/2018,-16.89182859690225,225795044.8472204,0.0,,,240.8785083953578,,,1.6357214584097997e+18,6.250108564591068e+18,,,star
34,34.0,,01/04/2018,-16.576815675141912,296757872.9237524,0.0,3.979938349147017,-6.809947232589872,240.70628834003395,,1.9575882,1.6357214584097997e+18,6.25030868000698e+18,,4948.48,star
43,43.0,,01/04/2018,-16.187805940752767,51274493.64693888,0.0,,,242.25360988088954,,,1.6357214584097997e+18,6.250498478902998e+18,,,star
57,57.0,,01/04/2018,-15.840561768968794,483501833.66454786,0.0,,,242.94914950079965,,,1.6357214584097997e+18,6.250615993503597e+18,,,star
14,14.0,,01/04/2018,-15.54436727159266,88287742.44784574,0.0,,,241.1646923804667,,,1.6357214584097997e+18,6.250827026719788e+18,,,star
28,28.0,,01/04/2018,-15.421249836183385,158639516.77894288,0.0,,,240.96353546447799,,,1.6357214584097997e+18,6.250842935278855e+18,,,star
68,68.0,,01/04/2018,-24.578710037593346,271827900.0674307,0.0,6.331359956737205,-4.267984527964873,230.6549187271933,,0.70572996,1.6357214584097997e+18,6.250996454588984e+18,,4795.91,star
86,86.0,,01/04/2018,-23.199491967110035,165509480.63678303,0.0,,,231.23430383575402,,,1.6357214584097997e+18,6.251247280679277e+18,,,star
74,74.0,,01/04/2018,-23.27459707762624,1209503283.8081644,0.0,,,229.496122718637,,,1.6357214584097997e+18,6.251369777448176e+18,,6749.3335,star
96,96.0,,01/04/2018,-22.757359009954534,986429606.199818,0.0,,,231.98033789045917,,,1.6357214584097997e+18,6.251593424984737e+18,,5247.15,star
51,51.0,,01/04/2018,-22.056331089100667,307216217.306,0.0,,,233.21167211281812,,,1.6357214584097997e+18,6.251748898500164e+18,,,star
48,48.0,,01/04/2018,-22.154996042730346,580748403.092227,0.0,-0.703911473475177,-12.95172592899246,231.12780448765358,,21.22203,1.6357214584097997e+18,6.251920151736827e+18,,4419.0,star
67,67.0,,01/04/2018,-23.01116184312903,458994358.0555108,0.0,,,229.48132816951386,,,1.6357214584097997e+18,6.25213369751321e+18,,,star
48,48.0,,01/04/2018,-22.10414935177558,185563759.8925112,0.0,,,230.47447635955345,,,1.6357214584097997e+18,6.252307763947972e+18,,,star
15,15.0,,01/04/2018,20.21047994579403,377802716.6662453,0.0,4.665287464050991,-6.648912252477032,153.505956728472,,1.0177748,1.6357214584097997e+18,6.253570995426944e+17,,5861.0,star
16,16.0,,01/04/2018,-21.703171277425685,365758269.2830882,0.0,,,230.17987624250287,,,1.6357214584097997e+18,6.25238074403243e+18,,,star
79,79.0,,01/04/2018,-21.78653117393144,288552194.6365218,0.0,,,229.42158573669042,,,1.6357214584097997e+18,6.252554054549475e+18,,4899.3335,star
78,78.0,,01/04/2018,-21.511614295819754,216417874.1392649,0.0,,,230.62208245391886,,,1.6357214584097997e+18,6.252718221079026e+18,,,star
73,73.0,,01/04/2018,-21.21848110594764,567047574.7735507,0.0,,,229.76105591768643,,,1.6357214584097997e+18,6.252972453084128e+18,,5018.2397,star
86,86.0,,01/04/2018,-20.095500829163736,798257326.4835634,0.0,,,230.55823650648463,,,1.6357214584097997e+18,6.253189640992359e+18,,5853.52,star
2,2.0,,01/04/2018,-21.0307979353139,344096755.26444215,0.0,,,234.52598940380608,,,1.6357214584097997e+18,6.253424180563315e+18,,5251.25,star
9,9.0,,01/04/2018,-20.368056115945095,233339195.6167892,0.0,,,232.98143610880672,,,1.6357214584097997e+18,6.253648236118548e+18,,,star
32,32.0,,01/04/2018,-19.750172559974246,338531241.0358893,0.0,,,233.5790908085854,,,1.6357214584097997e+18,6.253791589247055e+18,,4963.0,star
0,0.0,,01/04/2018,-19.564132755108897,128510800.38491356,0.0,6.199555783517,-2.7730166928633064,235.90649530345902,,0.6773116,1.6357214584097997e+18,6.253994002464578e+18,,5046.34,star
45,45.0,,01/04/2018,-19.623974828645142,148163561.82357717,0.0,,,234.12626939122345,,,1.6357214584097997e+18,6.254124015414687e+18,,,star
10,10.0,,01/04/2018,-20.436117702892734,328968411.1045022,0.0,,,232.0745007877679,,,1.6357214584097997e+18,6.254388379241325e+18,,,star
87,87.0,,01/04/2018,-19.843156834735826,126345599.51635817,0.0,,,232.58070295594032,,,1.6357214584097997e+18,6.254534098893128e+18,,,star
76,76.0,,01/04/2018,-19.62369169225302,300503444.4024175,0.0,,,230.8117762300849,,,1.6357214584097997e+18,6.254731671690736e+18,,,star
17,17.0,,01/04/2018,-19.160374261389066,139786578.43026268,0.0,,,233.19452477513855,,,1.6357214584097997e+18,6.254959751632173e+18,,,star
62,62.0,,01/04/2018,-17.765711021127714,321255577.00905144,0.0,,,234.2289553216964,,,1.6357214584097997e+18,6.255212226989256e+18,,,star
53,53.0,,01/04/2018,-17.866009179094874,345874333.4869686,0.0,4.847174838374557,-6.275291171999086,233.21171055864428,,1.1333419,1.6357214584097997e+18,6.255382204615436e+18,,5326.3335,star
79,79.0,,01/04/2018,-21.396881729860453,177267644.56268176,0.0,6.295166460015931,-3.3758552444472123,228.44849704766528,,0.7894424,1.6357214584097997e+18,6.255546886539983e+18,,4572.455,star
48,48.0,,01/04/2018,-20.423241488213748,150290836.31693986,0.0,6.5258754151241885,-2.786661424795609,228.18300310987053,,0.6145208000000001,1.6357214584097997e+18,6.255769610660704e+18,,4914.4,star
9,9.0,,01/04/2018,-20.62141027855451,162161607.82307208,0.0,,,227.7436275185817,,,1.6357214584097997e+18,6.255926699087913e+18,,,star
76,76.0,,01/04/2018,-19.30358872608212,378013230.11090606,0.0,,,230.20063690160046,,,1.6357214584097997e+18,6.256270468271266e+18,,,star
94,94.0,,01/04/2018,21.02813962293068,138679817.80377686,0.0,,,154.01896866704232,,,1.6357214584097997e+18,6.258328444823859e+17,,,star
94,94.0,,01/04/2018,23.41099447706025,224579789.19387463,0.0,,,51.79343938969884,,,1.6357214584097997e+18,6.26802373222871e+16,,,star
64,64.0,,01/04/2018,-19.843800852134454,284227030.15046763,0.0,,,228.60619223421452,,,1.6357214584097997e+18,6.25635760456669e+18,,,star
