,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
45,45.0,,01/04/2018,-34.441612506666665,441704393.60452175,0.0,,,269.69432059854597,,,1.6357214584097997e+18,4.0423006235777823e+18,,,star
30,30.0,,01/04/2018,-34.39449806384152,193940516.83685857,0.0,,,269.60555221328025,,,1.6357214584097997e+18,4.042302689390952e+18,,,star
13,13.0,,01/04/2018,-34.37045395916222,692422110.5911722,0.0,,,269.6226249546726,,,1.6357214584097997e+18,4.042304201219487e+18,,4419.0,star
76,76.0,,01/04/2018,-34.30262400276822,842559893.8035039,0.0,,,269.7028438756844,,,1.6357214584097997e+18,4.04230491841892e+18,,3948.14,star
20,20.0,,01/04/2018,-34.347892566610795,479659676.5646032,0.0,,,269.7752040961329,,,1.6357214584097997e+18,4.042307220657631e+18,,,star
11,11.0,,01/04/2018,-34.338387330970924,444012275.85771865,0.0,3.09685025559014,-8.567998965869565,269.80175590770057,,3.0024118,1.6357214584097997e+18,4.0423073579599903e+18,,4896.73,star
45,45.0,,01/04/2018,-34.22742877487325,92507384.02958596,0.0,,,269.98752769620074,,,1.6357214584097997e+18,4.042309041815919e+18,,,star
95,95.0,,01/04/2018,-34.195934989424465,96329139.10731225,0.0,,,269.786980363221,,,1.6357214584097997e+18,4.04231158856668e+18,,,star
56,56.0,,01/04/2018,-34.15242332164348,75158922.88002534,0.0,,,269.73004343705156,,,1.6357214584097997e+18,4.0423126838724224e+18,,,star
19,19.0,,01/04/2018,-34.172307123363865,906098336.3392652,0.0,,,269.77112345669275,,,1.6357214584097997e+18,4.042313821901096e+18,,4143.635,star
15,15.0,,01/04/2018,-34.33397014947368,988083532.789191,0.0,,,269.42025533487185,,,1.6357214584097997e+18,4.0423160853410616e+18,,4419.5,star
32,32.0,,01/04/2018,-34.25123027914092,197064596.41874108,0.0,,,269.5575388027612,,,1.6357214584097997e+18,4.0423176015234647e+18,,,star
57,57.0,,01/04/2018,-34.23689947476944,840610085.8124834,0.0,,,269.6324145036508,,,1.6357214584097997e+18,4.04231780332836e+18,,4291.5,star
84,84.0,,01/04/2018,-34.22831779722107,693669379.9398128,0.0,,,269.4704654303385,,,1.6357214584097997e+18,4.0423200368481393e+18,,4460.0,star
65,65.0,,01/04/2018,-34.210418287587444,191935590.11014104,0.0,,,269.34224965804884,,,1.6357214584097997e+18,4.042320827184692e+18,,,star
17,17.0,,01/04/2018,-34.114457885957925,111801698.2896618,0.0,,,269.51655984943613,,,1.6357214584097997e+18,4.042322579478827e+18,,,star
