,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
48,48.0,,01/04/2018,-70.22430944124079,745342491.1664615,0.0,3.1494691856270687,-9.640184551472943,152.74678713252544,,2.3508153,1.6357214584097997e+18,5.24280140210732e+18,,5467.265,star
25,25.0,,01/04/2018,-70.06732311767281,315295793.19454336,0.0,4.793179245562787,-6.128285969831523,153.15407080523215,,1.1291376,1.6357214584097997e+18,5.242894959371947e+18,,5403.0,star
29,29.0,,01/04/2018,-69.30126720621224,249979612.02131483,0.0,6.312544561295828,-4.104852721244958,153.62508342633473,,0.75313884,1.6357214584097997e+18,5.242957562817536e+18,,4662.6665,star
50,50.0,,01/04/2018,-69.23854721985228,316009840.39919686,0.0,,,151.7741084978733,,,1.6357214584097997e+18,5.242993988442545e+18,,,star
99,99.0,,01/04/2018,-69.55193800582988,184494651.6733091,0.0,,,149.7276498612019,,,1.6357214584097997e+18,5.243065005720584e+18,,,star
32,32.0,,01/04/2018,-69.63163778515415,124844863.80176067,0.0,,,148.7247883820429,,,1.6357214584097997e+18,5.243109746395981e+18,,,star
26,26.0,,01/04/2018,-69.10348416504725,275055354.58559394,0.0,5.640712338563326,-4.984262515120487,149.48840973146284,,0.8517501000000001,1.6357214584097997e+18,5.243153280186954e+18,,5117.985,star
31,31.0,,01/04/2018,-68.8319052857601,369476819.2539872,0.0,,,150.47333044252343,,,1.6357214584097997e+18,5.243207701714037e+18,,,star
14,14.0,,01/04/2018,-68.32397431188727,167449411.5971711,0.0,,,150.35479263631814,,,1.6357214584097997e+18,5.24329507852635e+18,,,star
36,36.0,,01/04/2018,-70.13429575467813,656440974.5965378,0.0,,,145.5185140002902,,,1.6357214584097997e+18,5.243372456658408e+18,,,star
67,67.0,,01/04/2018,-69.80369506625476,308168267.70937186,0.0,,,144.40165778668703,,,1.6357214584097997e+18,5.243441176131975e+18,,,star
77,77.0,,01/04/2018,-69.31444551034933,230891920.20140243,0.0,,,144.93052826800508,,,1.6357214584097997e+18,5.243552505980056e+18,,,star
0,0.0,,01/04/2018,65.34874497675168,80737229.72443679,0.0,,,14.01478292050246,,,1.6357214584097997e+18,5.243734891858185e+17,,3731.995,star
61,61.0,,01/04/2018,-68.74456302589644,796131952.7580521,0.0,,,145.95777726503158,,,1.6357214584097997e+18,5.243596177213664e+18,,,star
47,47.0,,01/04/2018,-69.10273886445032,98276429.86714388,0.0,,,142.46068703982078,,,1.6357214584097997e+18,5.243722414888224e+18,,,star
16,16.0,,01/04/2018,-68.8809107472659,575458971.0988157,0.0,3.5416091445686937,-8.686337013925215,145.1141139649155,,1.7939119,1.6357214584097997e+18,5.243778245166242e+18,,5718.2725,star
89,89.0,,01/04/2018,-68.46374883844251,279232221.72380376,0.0,6.152210398284719,-4.505491594957672,143.64057232866566,,0.6799714,1.6357214584097997e+18,5.243838791325404e+18,,5091.6665,star
99,99.0,,01/04/2018,-69.16289117846728,420949726.0468596,0.0,,,148.05412223763702,,,1.6357214584097997e+18,5.243888853465316e+18,,,star
27,27.0,,01/04/2018,-68.32588346268695,499190874.5111156,0.0,2.8465894974353336,-9.072618024701717,147.87853813884874,,1.7378839,1.6357214584097997e+18,5.243996021491235e+18,,6818.0,star
79,79.0,,01/04/2018,-68.49524381224161,482696804.6730247,0.0,,,148.8297842898481,,,1.6357214584097997e+18,5.244024677511784e+18,,,star
