,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
406,406.0,,01/04/2018,13.673699645233164,534755797.89472246,0.0,,,301.08121737699537,,,1.6357214584097997e+18,1.80638305337882e+18,,4975.5,star
485,485.0,,01/04/2018,13.877614082971965,1172606993.4113655,0.0,,,301.53870153928347,,,1.6357214584097997e+18,1.806413564828157e+18,,,star
269,269.0,,01/04/2018,13.9942849726638,790837015.7948378,0.0,,,300.4671081201062,,,1.6357214584097997e+18,1.8064679519883443e+18,,,star
645,645.0,,01/04/2018,13.418154098984585,438946900.4307397,0.0,,,302.3365016132426,,,1.6357214584097997e+18,1.806513070627908e+18,,,star
271,271.0,,01/04/2018,13.882372793734474,117570270.44191532,0.0,5.426378474740819,-3.3529834453345138,302.87721787125184,,0.934723,1.6357214584097997e+18,1.806557012427837e+18,,5132.7134,star
528,528.0,,01/04/2018,13.980613149657776,313725160.9359812,0.0,,,301.7911629410698,,,1.6357214584097997e+18,1.8066029857545367e+18,,,star
994,994.0,,01/04/2018,14.320857888420491,383680192.24310446,0.0,,,303.22393345513774,,,1.6357214584097997e+18,1.8066646958448497e+18,,,star
184,184.0,,01/04/2018,14.414795014284875,517731914.71339697,0.0,,,303.20478304230875,,,1.6357214584097997e+18,1.8067012589129705e+18,,5324.0,star
521,521.0,,01/04/2018,14.643111934201245,106096315.05827226,0.0,,,302.86020897374266,,,1.6357214584097997e+18,1.806770356344529e+18,,,star
498,498.0,,01/04/2018,14.160122885380918,269919351.00465256,0.0,,,301.64555867128155,,,1.6357214584097997e+18,1.8067966415481124e+18,,,star
277,277.0,,01/04/2018,14.37797884999667,26377342.358220484,0.0,,,302.11040437929785,,,1.6357214584097997e+18,1.806833024214064e+18,,,star
318,318.0,,01/04/2018,14.259633809254453,442638663.8534544,0.0,,,301.27932019615525,,,1.6357214584097997e+18,1.8068599622372777e+18,,,star
776,776.0,,01/04/2018,32.539733666227676,686219917.3192768,0.0,,,78.74416981218396,,,1.6357214584097997e+18,1.806997925203933e+17,,,star
370,370.0,,01/04/2018,14.931540256838767,154797260.31496382,0.0,,,301.5505184919608,,,1.6357214584097997e+18,1.8069247346511063e+18,,,star
153,153.0,,01/04/2018,15.059426160436866,514817088.1693527,0.0,,,302.4034151393878,,,1.6357214584097997e+18,1.806986135509696e+18,,,star
637,637.0,,01/04/2018,14.987011111775596,354905449.5095716,0.0,,,301.99619575396906,,,1.6357214584097997e+18,1.8070059954288384e+18,,,star
797,797.0,,01/04/2018,15.533891834697533,2796728084.0010056,0.0,,,302.49814778368614,,,1.6357214584097997e+18,1.807051590813748e+18,,4408.0,star
118,118.0,,01/04/2018,13.825163203739299,453123837.4923805,0.0,,,300.0480516177035,,,1.6357214584097997e+18,1.8071152937662377e+18,,4938.575,star
687,687.0,,01/04/2018,14.04257231728781,85470198.28284155,0.0,5.2011422059611325,-2.8858056855873926,299.7502766683927,,1.1644892,1.6357214584097997e+18,1.80713694040234e+18,,4843.3335,star
82,82.0,,01/04/2018,14.019206529032655,253042482.64142835,0.0,,,299.68934032280134,,,1.6357214584097997e+18,1.807177892901926e+18,,,star
933,933.0,,01/04/2018,14.248990740146162,483192186.81745774,0.0,,,300.0629902619767,,,1.6357214584097997e+18,1.807235174892432e+18,,,star
690,690.0,,01/04/2018,14.676859283035586,496770071.97251374,0.0,,,300.59550337844973,,,1.6357214584097997e+18,1.8072784681644485e+18,,,star
854,854.0,,01/04/2018,14.420749177986266,180540574.1014154,0.0,,,299.70200911204154,,,1.6357214584097997e+18,1.807299766895192e+18,,,star
538,538.0,,01/04/2018,14.868790459246874,274329217.88458693,0.0,5.869814089235369,-4.749420571479863,300.1561732574952,,0.8070938,1.6357214584097997e+18,1.8073434767920087e+18,,4987.5,star
847,847.0,,01/04/2018,14.451375975908133,566556959.8846465,0.0,,,299.29916908131,,,1.6357214584097997e+18,1.8073998267677297e+18,,4899.5576,star
48,48.0,,01/04/2018,14.604021319802802,265638867.904696,0.0,,,299.2006330913936,,,1.6357214584097997e+18,1.807414287901374e+18,,,star
982,982.0,,01/04/2018,14.45425912749428,28518321.21822188,0.0,,,298.2230629904792,,,1.6357214584097997e+18,1.807443635423302e+18,,,star
219,219.0,,01/04/2018,14.838978283886672,922472905.0122967,0.0,,,299.6864737832902,,,1.6357214584097997e+18,1.807507334072312e+18,,,star
941,941.0,,01/04/2018,14.912974406144214,93297171.93951602,0.0,,,299.9668632188978,,,1.6357214584097997e+18,1.807529362961724e+18,,,star
144,144.0,,01/04/2018,14.956907325166744,1010718592.6010672,0.0,,,298.99543068026117,,,1.6357214584097997e+18,1.8075795969196488e+18,,,star
416,416.0,,01/04/2018,15.173490908297147,24692507.442104064,0.0,,,299.5559798807379,,,1.6357214584097997e+18,1.8075979793703803e+18,,,star
554,554.0,,01/04/2018,14.82828357201408,644085693.9435935,0.0,,,300.6536448603867,,,1.6357214584097997e+18,1.8076563222040983e+18,,,star
760,760.0,,01/04/2018,15.090375835755642,458372087.4340259,0.0,,,301.2941208631026,,,1.6357214584097997e+18,1.807682126368588e+18,,,star
424,424.0,,01/04/2018,15.171315926790614,453980937.27797806,0.0,,,300.6120602389324,,,1.6357214584097997e+18,1.8077299164584512e+18,,,star
138,138.0,,01/04/2018,15.442127126621086,595924865.0491747,0.0,,,301.20020798343563,,,1.6357214584097997e+18,1.807750807174376e+18,,,star
907,907.0,,01/04/2018,15.376427861217534,126284236.00228187,0.0,,,301.5237578972743,,,1.6357214584097997e+18,1.807793207093386e+18,,,star
90,90.0,,01/04/2018,15.75168060862412,680921004.0270168,0.0,,,301.4967028345702,,,1.6357214584097997e+18,1.807858975943196e+18,,4934.0,star
739,739.0,,01/04/2018,15.842999436669507,32777580.297127426,0.0,,,301.27294170920226,,,1.6357214584097997e+18,1.8078718264777592e+18,,,star
710,710.0,,01/04/2018,15.469041350941806,148366837.77074245,0.0,,,300.5698707567868,,,1.6357214584097997e+18,1.8079502010502047e+18,,,star
850,850.0,,01/04/2018,15.555957713307953,86690564.021348,0.0,,,299.95450920301886,,,1.6357214584097997e+18,1.8079876144988823e+18,,,star
868,868.0,,01/04/2018,32.38723625443731,189277704.04577607,0.0,,,80.35892317610805,,,1.6357214584097997e+18,1.8082307096483136e+17,,,star
907,907.0,,01/04/2018,15.901333612536526,1931137698.4914825,0.0,,,299.7587388310781,,,1.6357214584097997e+18,1.8080169276645064e+18,,4340.0,star
604,604.0,,01/04/2018,16.172985356148807,262804737.5569861,0.0,,,300.13980627810935,,,1.6357214584097997e+18,1.8080506345603635e+18,,,star
56,56.0,,01/04/2018,16.339638099043064,381170253.73312575,0.0,5.405473905188731,-5.927995435162152,301.50766222359346,,0.96504796,1.6357214584097997e+18,1.808102208531708e+18,,5075.8,star
365,365.0,,01/04/2018,16.299517257750498,372138506.2580805,0.0,,,300.86469898318353,,,1.6357214584097997e+18,1.80813608292412e+18,,,star
73,73.0,,01/04/2018,16.63253962313839,62481149.3472196,0.0,,,301.08197922986983,,,1.6357214584097997e+18,1.8081738485817065e+18,,,star
339,339.0,,01/04/2018,16.798255718149182,321023706.83991265,0.0,,,300.793107513788,,,1.6357214584097997e+18,1.808192261099844e+18,,,star
223,223.0,,01/04/2018,15.054034406962854,353014982.9261705,0.0,4.969720002521863,-6.197120023765407,303.99487724470583,,1.0683441,1.6357214584097997e+18,1.8082505395123848e+18,,5333.3335,star
780,780.0,,01/04/2018,15.337686593740829,180230026.02397972,0.0,,,303.9340644588811,,,1.6357214584097997e+18,1.8083112531683128e+18,,,star
847,847.0,,01/04/2018,15.354784417144922,96784564.50019167,0.0,,,304.3448465610074,,,1.6357214584097997e+18,1.8083560582601364e+18,,,star
89,89.0,,01/04/2018,15.997441058478522,301747547.92617613,0.0,,,304.25081006778044,,,1.6357214584097997e+18,1.8084611604058112e+18,,,star
798,798.0,,01/04/2018,15.293666169629919,26054301.50994163,0.0,,,303.27262483143505,,,1.6357214584097997e+18,1.808486075510932e+18,,,star
600,600.0,,01/04/2018,15.808319034731765,717557280.1346495,0.0,,,303.5602831687995,,,1.6357214584097997e+18,1.808529025198778e+18,,,star
344,344.0,,01/04/2018,15.99391410700953,428738669.2580082,0.0,4.031953002274104,-7.556884610015652,302.99715979560926,,1.6431136999999998,1.6357214584097997e+18,1.8086026237609605e+18,,5337.0,star
647,647.0,,01/04/2018,16.107583972569618,469830627.0827037,0.0,,,303.09616893287665,,,1.6357214584097997e+18,1.8086096331480607e+18,,,star
65,65.0,,01/04/2018,16.34028014412157,752619450.1558473,0.0,,,304.3480394170321,,,1.6357214584097997e+18,1.8086649823767688e+18,,5408.0,star
171,171.0,,01/04/2018,16.458249418556573,110477188.31561278,0.0,,,303.4528194703825,,,1.6357214584097997e+18,1.8087167667995064e+18,,,star
814,814.0,,01/04/2018,16.38190166036516,446948768.2694916,0.0,,,305.5140001830688,,,1.6357214584097997e+18,1.8088201896137472e+18,,,star
853,853.0,,01/04/2018,16.324167778156802,821595468.4361304,0.0,,,304.7408875268096,,,1.6357214584097997e+18,1.8088491892335688e+18,,,star
652,652.0,,01/04/2018,16.60426433070621,133021082.1907385,0.0,,,305.6812718499785,,,1.6357214584097997e+18,1.808918286665818e+18,,,star
411,411.0,,01/04/2018,17.04842753202087,363994174.2528842,0.0,,,305.8531077023278,,,1.6357214584097997e+18,1.80900614451884e+18,,,star
894,894.0,,01/04/2018,32.745644155500486,673461419.2433407,0.0,,,80.71934803518411,,,1.6357214584097997e+18,1.8092866273981888e+17,,,star
275,275.0,,01/04/2018,17.419869242330726,515967869.71165615,0.0,,,305.8807428534605,,,1.6357214584097997e+18,1.8090344569435668e+18,,,star
389,389.0,,01/04/2018,17.031761687170047,113606411.47740044,0.0,,,304.23468372528686,,,1.6357214584097997e+18,1.8091266398238515e+18,,,star
134,134.0,,01/04/2018,17.345212530834562,167232700.0840424,0.0,,,304.2287472859019,,,1.6357214584097997e+18,1.8091708307407112e+18,,,star
329,329.0,,01/04/2018,17.364027503332885,282127453.83076715,0.0,,,305.13878660725976,,,1.6357214584097997e+18,1.8092085190751288e+18,,,star
653,653.0,,01/04/2018,17.514311737944304,956271715.1932648,0.0,,,304.7588863895057,,,1.6357214584097997e+18,1.8092588947471944e+18,,,star
95,95.0,,01/04/2018,15.93217662915887,532297346.5496397,0.0,,,302.2370515815603,,,1.6357214584097997e+18,1.809339429679004e+18,,,star
830,830.0,,01/04/2018,16.227269078036276,81387260.39115366,0.0,,,302.10123853131284,,,1.6357214584097997e+18,1.809395612154732e+18,,,star
914,914.0,,01/04/2018,16.629711349441777,479326496.1660101,0.0,,,302.2344138209881,,,1.6357214584097997e+18,1.8094477358806748e+18,,,star
876,876.0,,01/04/2018,16.463056943024295,116753970.79371452,0.0,,,303.0866715484443,,,1.6357214584097997e+18,1.809465186322096e+18,,,star
298,298.0,,01/04/2018,16.724347610445832,1177516517.3040118,0.0,,,303.40071385928866,,,1.6357214584097997e+18,1.8094979655134177e+18,,4143.9023,star
727,727.0,,01/04/2018,5.9234590102724205,163405647.38822657,0.0,6.859628871716152,-2.6345807719672987,39.646288339669475,,0.54682624,1.6357214584097997e+18,1.824533460659072e+16,,4824.3496,star
200,200.0,,01/04/2018,16.993084757883967,186084601.18623853,0.0,,,302.8589904169636,,,1.6357214584097997e+18,1.8095479632329887e+18,,,star
724,724.0,,01/04/2018,16.88643773594206,72572500.54154038,0.0,,,301.6932576118088,,,1.6357214584097997e+18,1.809636370833268e+18,,,star
968,968.0,,01/04/2018,16.952736601993568,429112209.25465226,0.0,,,301.9591978146055,,,1.6357214584097997e+18,1.8096583567709755e+18,,,star
478,478.0,,01/04/2018,17.14131048369544,119167459.36323996,0.0,,,301.2547825696768,,,1.6357214584097997e+18,1.809704781082092e+18,,,star
387,387.0,,01/04/2018,17.261212891485854,549670444.7565953,0.0,,,302.14051280286975,,,1.6357214584097997e+18,1.8097660445004928e+18,,4834.6377,star
565,565.0,,01/04/2018,17.436085466409267,393992840.9533178,0.0,,,302.6856640096065,,,1.6357214584097997e+18,1.8097851442059208e+18,,,star
337,337.0,,01/04/2018,17.725130865864298,643073221.9147438,0.0,,,301.81329253688136,,,1.6357214584097997e+18,1.8098400897292155e+18,,,star
402,402.0,,01/04/2018,17.92224107672071,150985969.53152782,0.0,,,302.3742044285753,,,1.6357214584097997e+18,1.8098636948743795e+18,,,star
295,295.0,,01/04/2018,17.536354967033976,514816635.7202453,0.0,1.3161574120537691,-10.66997978306372,303.7348633399683,,8.160116,1.6357214584097997e+18,1.8099190140534323e+18,,4475.715,star
585,585.0,,01/04/2018,32.48914035786263,218704895.54079345,0.0,6.422970668380691,-3.704196188225173,79.4269752942994,,0.7283363,1.6357214584097997e+18,1.810151462001252e+17,,4622.355,star
603,603.0,,01/04/2018,17.74070379405641,378747292.81542486,0.0,,,303.56398504743686,,,1.6357214584097997e+18,1.809983782153956e+18,,5143.45,star
489,489.0,,01/04/2018,17.993468433174048,237376734.0838965,0.0,,,303.90656503213705,,,1.6357214584097997e+18,1.8100067688286543e+18,,,star
617,617.0,,01/04/2018,18.3947352159043,429496776.96529335,0.0,0.11795654319760195,-11.47471733664606,304.67664302338403,,11.77648,1.6357214584097997e+18,1.810092423347068e+18,,4909.338,star
131,131.0,,01/04/2018,18.333260630234204,342969871.024948,0.0,,,304.3969470461543,,,1.6357214584097997e+18,1.810134965003944e+18,,,star
565,565.0,,01/04/2018,17.89125582918397,316796906.25793713,0.0,5.3486507208116985,-5.583128272075911,303.0672835547736,,1.1030098,1.6357214584097997e+18,1.8101801480678912e+18,,4810.2935,star
904,904.0,,01/04/2018,18.260525384422085,289746260.17501986,0.0,,,303.6316653144312,,,1.6357214584097997e+18,1.8102137862387497e+18,,,star
846,846.0,,01/04/2018,18.296088817859818,123863980.13439012,0.0,,,302.66949506733886,,,1.6357214584097997e+18,1.8102636765941745e+18,,,star
782,782.0,,01/04/2018,18.58040134872248,494048143.65765184,0.0,,,303.6703891332388,,,1.6357214584097997e+18,1.8103281998712888e+18,,,star
803,803.0,,01/04/2018,18.628953311755506,82522881.18281679,0.0,,,304.14938538064723,,,1.6357214584097997e+18,1.810342566552238e+18,,,star
463,463.0,,01/04/2018,18.809829491007687,510705105.19406503,0.0,,,303.3196798140873,,,1.6357214584097997e+18,1.8103968892993216e+18,,5595.906999999997,star
