,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
119,119.0,,01/04/2018,56.204457347760545,57211528.28946983,0.0,,,102.39213869150736,,,1.6357214584097997e+18,1.0001947052397472e+18,,,star
133,133.0,,01/04/2018,60.618620209418964,300106403.84177536,0.0,3.1032260731786336,-7.71102457469269,100.77966960496096,,1.4758122,1.6357214584097997e+18,1.0036048749139904e+18,,6974.1,star
189,189.0,,01/04/2018,61.600374756335114,248580999.75801203,0.0,5.363201022520434,-5.04201296339984,97.51969083678759,,1.0189657,1.6357214584097997e+18,1.0066867372870532e+18,,4988.0,star
174,174.0,,01/04/2018,24.129800315321788,118528565.8920358,0.0,6.267529164541168,-2.529460318548253,33.673193061491965,,0.83700126,1.6357214584097997e+18,1.0130110293924877e+17,,4469.0,star
160,160.0,,01/04/2018,48.707896168231905,193357475.88772044,0.0,,,132.40646742857498,,,1.6357214584097997e+18,1.0142918874178984e+18,,,star
176,176.0,,01/04/2018,6.9308836523426605,128009992.46849398,0.0,,,48.270359957555726,,,1.6357214584097997e+18,1.0438454156785024e+16,,,star
172,172.0,,01/04/2018,54.06932521766339,32454279.642251626,0.0,,,139.67139507051257,,,1.6357214584097997e+18,1.023189612249716e+18,,,star
158,158.0,,01/04/2018,51.1377833059863,105835009.49710032,0.0,,,130.42866433927546,,,1.6357214584097997e+18,1.0276047011912628e+18,,,star
131,131.0,,01/04/2018,53.63496642189249,82007564.01562452,0.0,7.908681598408692,-0.08846229390952409,124.60302555732378,,0.52862686,1.6357214584097997e+18,1.0317982084750648e+18,,3853.75,star
111,111.0,,01/04/2018,23.6060130416407,172089979.3167795,0.0,,,31.355977939272808,,,1.6357214584097997e+18,1.0385145022445466e+17,,,star
111,111.0,,01/04/2018,61.515073860608396,83229451.94472617,0.0,,,140.37283968319502,,,1.6357214584097997e+18,1.0399316009278266e+18,,,star
